# f/kHz     Uer/5V     U/10V
5       1.8     0.9
10      1.7     1
15      1.7     1.2
17      1.7     1.5
19      1.7     1.8
20      1.7     2.1
21      1.7     2.4
23      1.7     3.9
24      1.7     5.4
24.5    1.65    6.8
25      1.6     9.5
25.5    1.4     13.5
25.75   1.2     16
26      1.1     17
26.25   1.2     15.5
26.5    1.4     13.5
26.75   1.5     11.5
27      1.5     9.5
27.5    1.6     7
28      1.7     5
28.5    1.7     4.2
29      1.7     3.4
30      1.7     2.6
35      1.7     1
40      1.7     0.6
45      1.7     0.4
50      1.7     0.32
55      1.7     0.24
60      1.7     0.18
