# t in 25 µs    u /5V
0.8     3.3
2.4     2.8
3.9     2.5
5.4     2.1
7       1.8
8.5     1.6
10.1    1.3
11.6    1.15
13.2    1
14.7    0.8
16.2    0.7
17.7    0.6
19.2    0.56
20.8    0.48 
22.3    0.4  
23.8    0.36 
25.3    0.32 
26.8    0.28 
28.3    0.24
29.8    0.2
31.4    0.17
32.9    0.15
34.4    0.13
35.9    0.11
37.4    0.1
38.9    0.08
40.4    0.07
41.9    0.06
43.4    0.052
45      0.048
46.5    0.04
48      0.032
49.5    0.028
51      0.024
52.5    0.016
