# v, UErr, Uc, U
5.00 9.00 9.00 1.00
10.00 8.50 10.00 1.18
15.00 8.50 12.00 1.41
17.00 8.50 15.00 1.76
19.00 8.50 18.00 2.12
20.00 8.50 21.00 2.47
21.00 8.50 24.00 2.82
23.00 8.50 39.00 4.59
24.00 8.50 54.00 6.35
24.50 8.25 68.00 8.24
25.00 8.00 95.00 11.88
25.50 7.00 135.00 19.29
25.75 6.00 160.00 26.67
26.00 5.50 170.00 30.91
26.25 6.00 155.00 25.83
26.50 7.00 135.00 19.29
26.75 7.50 115.00 15.33
27.00 7.50 95.00 12.67
27.50 8.00 70.00 8.75
28.00 8.50 50.00 5.88
28.50 8.50 42.00 4.94
29.00 8.50 34.00 4.00
30.00 8.50 26.00 3.06
35.00 8.50 10.00 1.18
40.00 8.50 6.00 0.71
45.00 8.50 4.00 0.47
50.00 8.50 3.20 0.38
55.00 8.50 2.40 0.28
60.00 8.50 1.80 0.21
