#Verstärkung: 10, #theoretische Güte: 100, Eingangspannung: 100mv
#w/kHz      U/V
34.1        0.19        #Umsprung 
34.2        0.23
34.3        0.29
34.4        0.38
34.5        0.5
34.51       0.51
34.52       0.53
34.53       0.54
34.54       0.56
34.55       0.58
34.56       0.59
34.57       0.61
34.58       0.63
34.59       0.65
34.6        0.67
34.61       0.69
34.62       0.71
34.63       0.72
34.64       0.74
34.65       0.76
34.66       0.78
34.67       0.8
34.7        0.84
34.75       0.87
34.77       0.87
34.8        0.85
34.81       0.825
34.82       0.82
34.83       0.81
34.84       0.8
34.85       0.77
34.86       0.75                 
34.87       0.74
34.88       0.72
34.89       0.70
34.9        0.68
35          0.51        
